task_id,subtask_id,status,encoder,encoded_at,validate_status_1
P0001,,completed,38179254,2026-08-27T11:06:12.374Z,
P0001,S0001,completed,,,pass|297915765|2026-08-27T11:14:03.591Z
P0002,,completed,38179254,2026-08-27T11:24:51.102Z,
P0002,S0001,completed,,,pass|297915765|2026-08-27T11:26:48.361Z
T0001,,encoding_required,,,
T0001,S0001,pending,,,
T0002,,encoding_required,,,
T0002,S0001,pending,,,
P0003,,encoding_required,,,
P0003,S0001,pending,,,
P0004,,encoding_required,,,
P0004,S0001,pending,,,
T0003,,encoding_required,,,
T0003,S0001,pending,,,
